,PC1_loading,PC2_loading
27.888888888888886,-2.232779e-05,3.9661623e-05
28.0,-3.6748705e-05,-5.5929668e-06
28.11111111111111,-3.7800775e-05,2.1093852e-06
28.22222222222222,-5.230071e-05,1.7468681e-05
28.333333333333332,-4.86587e-05,9.602675e-06
28.444444444444443,-1.5940373e-05,5.0255378e-05
28.555555555555554,-4.667056e-05,-5.422311e-06
28.666666666666664,-6.6724e-05,-7.873023e-06
28.777777777777775,-3.479811e-05,1.8556915e-05
28.888888888888886,-5.745971e-05,-8.777686e-06
29.0,-8.772485e-05,2.6039372e-05
29.11111111111111,-7.209004e-05,1.2162651e-05
29.22222222222222,-8.284593e-05,-2.3274137e-05
29.333333333333332,-5.9270424e-05,-4.4173357e-05
29.444444444444443,-9.052202e-05,4.2161806e-05
29.555555555555554,-9.6926036e-05,-3.929678e-05
29.666666666666664,-7.787788e-05,-2.9050454e-05
29.777777777777775,-5.6479534e-05,-2.2729091e-05
29.888888888888886,-9.328998e-05,-0.00011009033
30.0,-0.00012310121,-4.4496144e-05
30.11111111111111,-8.823391e-05,-2.8951283e-05
30.22222222222222,-8.952863e-05,5.1808238e-05
30.333333333333332,-0.00010610271,-1.5562613e-05
30.444444444444443,-7.966708e-05,6.4567e-06
30.555555555555554,-5.886584e-05,7.862904e-06
30.666666666666664,-0.00010042116,-8.6444554e-05
30.777777777777775,-7.377841e-05,-3.988118e-05
30.888888888888886,-6.4177606e-05,-1.5160494e-05
31.0,-2.6292584e-05,3.4888783e-06
31.11111111111111,-4.702029e-05,7.579068e-05
31.22222222222222,-5.5347067e-05,-3.47675e-05
31.333333333333332,-7.096278e-05,9.031115e-06
31.444444444444443,-7.7296325e-05,-5.8784583e-05
31.555555555555554,-5.6741326e-05,-3.9618844e-05
31.666666666666664,-8.92551e-05,1.0029919e-05
31.777777777777775,-4.9908896e-05,6.446738e-06
31.888888888888886,-4.2961427e-05,-1.3344926e-05
32.0,-2.8290619e-05,1.8750296e-05
32.11111111111111,-3.7443355e-05,9.646559e-06
32.22222222222222,-5.244392e-05,-1.7876546e-06
32.33333333333333,-5.3918156e-05,-3.189862e-05
32.44444444444444,-3.2070475e-05,-3.5354147e-05
32.55555555555556,-4.1629828e-05,-2.8087836e-05
32.666666666666664,-4.2173833e-05,1.2298321e-05
32.77777777777778,-2.9187431e-05,3.2575994e-05
32.888888888888886,-2.589163e-05,-3.5391e-06
33.0,-2.4613348e-05,6.202609e-06
33.11111111111111,-2.703972e-05,-1.4555377e-05
33.22222222222222,-1.8286744e-05,1.2579757e-05
33.33333333333333,-2.6606185e-05,8.035021e-06
33.44444444444444,-2.3120923e-05,4.5993797e-06
33.55555555555556,-3.2063934e-05,-5.122679e-06
33.666666666666664,-1.6538534e-05,1.6751323e-05
